FIPS,State,County
17003,IL,ALEXANDER
17005,IL,BOND
17007,IL,BOONE
17009,IL,BROWN
17011,IL,BUREAU
17015,IL,CARROLL
17017,IL,CASS
17019,IL,CHAMPAIGN
17021,IL,CHRISTIAN
17023,IL,CLARK
17025,IL,CLAY
17027,IL,CLINTON
17031,IL,COOK
17033,IL,CRAWFORD
17037,IL,DE KALB
17039,IL,DE WITT
17045,IL,EDGAR
17047,IL,EDWARDS
17049,IL,EFFINGHAM
17051,IL,FAYETTE
17053,IL,FORD
17055,IL,FRANKLIN
17057,IL,FULTON
17059,IL,GALLATIN
17063,IL,GRUNDY
17067,IL,HANCOCK
17069,IL,HARDIN
17071,IL,HENDERSON
17073,IL,HENRY
17075,IL,IROQUOIS
17077,IL,JACKSON
17081,IL,JEFFERSON
17085,IL,JO DAVIESS
17087,IL,JOHNSON
17089,IL,KANE
17091,IL,KANKAKEE
17093,IL,KENDALL
17095,IL,KNOX
17097,IL,LAKE
17101,IL,LAWRENCE
17103,IL,LEE
17105,IL,LIVINGSTON
17113,IL,MCLEAN
17115,IL,MACON
17117,IL,MACOUPIN
17119,IL,MADISON
17121,IL,MARION
17125,IL,MASON
17127,IL,MASSAC
17129,IL,MENARD
17133,IL,MONROE
17139,IL,MOULTRIE
17141,IL,OGLE
17143,IL,PEORIA
17145,IL,PERRY
17147,IL,PIATT
17153,IL,PULASKI
17155,IL,PUTNAM
17157,IL,RANDOLPH
17161,IL,ROCK ISLAND
17163,IL,ST CLAIR
17165,IL,SALINE
17167,IL,SANGAMON
17169,IL,SCHUYLER
17171,IL,SCOTT
17173,IL,SHELBY
17175,IL,STARK
17177,IL,STEPHENSON
17179,IL,TAZEWELL
17181,IL,UNION
17183,IL,VERMILION
17185,IL,WABASH
17189,IL,WASHINGTON
17193,IL,WHITE
17195,IL,WHITESIDE
17197,IL,WILL
17201,IL,WINNEBAGO
17203,IL,WOODFORD
19005,IA,ALLAMAKEE
19007,IA,APPANOOSE
19009,IA,AUDUBON
19011,IA,BENTON
19013,IA,BLACK HAWK
19015,IA,BOONE
19017,IA,BREMER
19019,IA,BUCHANAN
19021,IA,BUENA VISTA
19023,IA,BUTLER
19025,IA,CALHOUN
19027,IA,CARROLL
19029,IA,CASS
19031,IA,CEDAR
19033,IA,CERRO GORDO
19039,IA,CLARKE
19041,IA,CLAY
19045,IA,CLINTON
19047,IA,CRAWFORD
19049,IA,DALLAS
19051,IA,DAVIS
19053,IA,DECATUR
19055,IA,DELAWARE
19059,IA,DICKINSON
19061,IA,DUBUQUE
19063,IA,EMMET
19065,IA,FAYETTE
19069,IA,FRANKLIN
19071,IA,FREMONT
19073,IA,GREENE
19075,IA,GRUNDY
19079,IA,HAMILTON
